word_title,date,count
Space,"October 1, 2011",37
To,"October 1, 2011",29
in,"October 1, 2011",26
for,"October 1, 2011",23
[The,"October 1, 2011",20
NASA,"October 1, 2011",20
on,"October 1, 2011",18
Today],"October 1, 2011",17
U.S.,"October 1, 2011",16
Satellite,"October 1, 2011",16
in,"December 16, 2013",15
|,"December 16, 2013",15
[Florida,"October 1, 2011",15
of,"October 1, 2011",15
|,"December 17, 2012",14
Post],"October 1, 2011",14
Review,"December 16, 2013",13
Year,"December 16, 2013",13
2013,"December 16, 2013",13
in,"December 17, 2012",13
Year,"December 17, 2012",13
Launch,"October 1, 2011",13
|,"September 8, 2014",13
Review:,"December 17, 2012",12
SpaceNews,"December 17, 2012",12
2012,"December 17, 2012",12
The,"December 17, 2012",12
–,"August 27, 2012",11
News],"October 1, 2011",11
to,"October 1, 2011",11
Times],"October 1, 2011",11
|,"August 26, 2013",10
Difference,"August 27, 2012",10
Making,"August 27, 2012",10
a,"August 27, 2012",10
Space:,"August 29, 2011",10
Difference,"August 29, 2011",10
Who,"August 29, 2011",10
a,"August 29, 2011",10
10,"August 29, 2011",10
Made,"August 29, 2011",10
in,"August 29, 2011",10
Russian,"October 1, 2011",10
Says,"October 1, 2011",10
[RIA,"October 1, 2011",10
with,"October 1, 2011",10
to,"April 17, 2018",9
to,"April 4, 2022",9
to,"April 5, 2022",9
to,"April 8, 2019",9
to,"August 8, 2017",9
|,"July 7, 2014",9
to,"March 5, 2020",9
|,"November 18, 2013",9
[Houston,"October 1, 2011",9
Chief,"October 1, 2011",9
Shuttle,"October 1, 2011",9
New,"October 1, 2011",9
Novosti],"October 1, 2011",9
to,"October 18, 2022",9
Shutdown,"October 2, 2013",9
a,"September 8, 2014",9
space,"April 17, 2018",8
to,"April 5, 2017",8
to,"April 8, 2021",8
to,"August 9, 2021",8
Satellite,"July 7, 2014",8
|,"July 8, 2013",8
to,"June 20, 2017",8
China,"October 1, 2011",8
[Space,"October 1, 2011",8
Chronicle],"October 1, 2011",8
|,"October 14, 2013",8
Government,"October 2, 2013",8
U.S.,"October 2, 2013",8
to,"October 23, 2018",8
to,"October 24, 2019",8
for,"September 23, 2013",8
Difference,"September 8, 2014",8
Making,"September 8, 2014",8
to,"April 20, 2020",7
Space,"April 4, 2022",7
the,"April 5, 2017",7
to,"August 10, 2021",7
to,"August 22, 2023",7
Space,"August 24, 2021",7
a,"August 26, 2013",7
Making,"August 26, 2013",7
Difference,"August 26, 2013",7
Space,"August 27, 2012",7
to,"August 4, 2017",7
|,"December 8, 2014",7
to,"February 1, 2018",7
to,"February 12, 2020",7
for,"February 14, 2011",7
to,"February 14, 2023",7
to,"February 28, 2020",7
to,"January 18, 2023",7
to,"July 27, 2022",7
to,"June 29, 2021",7
to,"March 14, 2018",7
to,"May 10, 2022",7
to,"November 1, 2022",7
To,"November 18, 2013",7
to,"November 19, 2020",7
to,"November 23, 2021",7
to,"November 9, 2021",7
[Washington,"October 1, 2011",7
Budget,"October 1, 2011",7
Washington,"October 1, 2011",7
Russia,"October 1, 2011",7
[Reuters],"October 1, 2011",7
Rocket,"October 1, 2011",7
Mission,"October 1, 2011",7
Sentinel],"October 1, 2011",7
Commercial,"October 14, 2013",7
to,"October 26, 2017",7
to,"September 18, 2019",7
Space,"September 23, 2013",7
for,"September 26, 2012",7
Space,"April 10, 2019",6
to,"April 11, 2023",6
to,"April 12, 2022",6
to,"April 24, 2020",6
for,"April 25, 2011",6
for,"April 26, 2022",6
to,"April 26, 2022",6
to,"April 27, 2022",6
to,"April 27, 2023",6
|,"April 28, 2014",6
To,"April 28, 2014",6
Space,"April 28, 2014",6
for,"April 5, 2017",6
Space,"April 5, 2022",6
Space,"April 8, 2019",6
Space,"April 9, 2019",6
to,"August 12, 2021",6
to,"August 19, 2021",6
in,"August 23, 2021",6
for,"August 24, 2021",6
|,"August 25, 2014",6
to,"August 4, 2022",6
to,"August 7, 2018",6
