sum_LinkedIn_result,avg_LinkedIn_by_hour
126.0,2.625
89.0,1.8541666666666667
1570.0,32.708333333333336
-27.0,-0.5625
201.0,4.1875
8518.0,177.45833333333334
834.0,17.375
-12.0,-0.25
83.0,1.7291666666666667
19709.0,410.6041666666667
222.0,4.625
4696.0,97.83333333333333
-140.0,-2.9166666666666665
7167.0,149.3125
576.0,12.0
-39.0,-0.8125
-21.0,-0.4375
108.0,2.25
-21.0,-0.4375
411.0,8.5625
-3.0,-0.0625
96.0,2.0
-24.0,-0.5
361.0,7.520833333333333
3563.0,74.22916666666667
906.0,18.875
-120.0,-2.5
2826.0,58.875
846.0,17.625
-116.0,-2.4166666666666665
54.0,1.125
-24.0,-0.5
-33.0,-0.6875
-18.0,-0.375
-132.0,-2.75
-108.0,-2.25
-96.0,-2.0
-140.0,-2.9166666666666665
-24.0,-0.5
74.0,1.5416666666666667
-116.0,-2.4166666666666665
-45.0,-0.9375
-24.0,-0.5
117.0,2.4375
-45.0,-0.9375
-112.0,-2.3333333333333335
92.0,1.9166666666666667
-32.0,-0.6666666666666666
-132.0,-2.75
20.0,0.4166666666666667
-132.0,-2.75
80.0,1.6666666666666667
-12.0,-0.25
-144.0,-3.0
894.0,18.625
-140.0,-2.9166666666666665
-144.0,-3.0
-72.0,-1.5
-66.0,-1.375
316.0,6.583333333333333
-136.0,-2.8333333333333335
-100.0,-2.0833333333333335
-66.0,-1.375
-24.0,-0.5
-128.0,-2.6666666666666665
-132.0,-2.75
134.0,2.7916666666666665
-144.0,-3.0
-144.0,-3.0
-144.0,-3.0
-144.0,-3.0
-124.0,-2.5833333333333335
-140.0,-2.9166666666666665
-144.0,-3.0
-128.0,-2.6666666666666665
-124.0,-2.5833333333333335
-144.0,-3.0
-140.0,-2.9166666666666665
-84.0,-1.75
-140.0,-2.9166666666666665
-144.0,-3.0
-140.0,-2.9166666666666665
-144.0,-3.0
-144.0,-3.0
-52.0,-1.0833333333333333
-36.0,-0.75
-123.0,-2.5625
-81.0,-1.6875
-90.0,-1.875
1834.0,38.208333333333336
-65.0,-1.3541666666666667
20.0,0.4166666666666667
-134.0,-2.7916666666666665
10.0,0.20833333333333334
-59.0,-1.2291666666666667
-109.0,-2.2708333333333335
-144.0,-3.0
-144.0,-3.0
-87.0,-1.8125
-144.0,-3.0
-144.0,-3.0
-65.0,-1.3541666666666667
-117.0,-2.4375
-69.0,-1.4375
129.0,2.6875
165.0,3.4375
-144.0,-3.0
-144.0,-3.0
-144.0,-3.0
-144.0,-3.0
-45.0,-0.9375
-85.0,-1.7708333333333333
-94.0,-1.9583333333333333
-144.0,-3.0
-144.0,-3.0
-59.0,-1.2291666666666667
-144.0,-3.0
-70.0,-1.4583333333333333
-143.0,-2.9791666666666665
-134.0,-2.7916666666666665
-57.0,-1.1875
3608.0,75.16666666666667
63.0,1.3125
-89.0,-1.8541666666666667
-112.0,-2.3333333333333335
-42.0,-0.875
-48.0,-1.0
-143.0,-2.9791666666666665
-144.0,-3.0
-144.0,-3.0
-144.0,-3.0
-144.0,-3.0
-144.0,-3.0
-88.0,-1.8333333333333333
-144.0,-3.0
-144.0,-3.0
-120.0,-2.5
-80.0,-1.6666666666666667
-144.0,-3.0
-144.0,-3.0
-144.0,-3.0
-144.0,-3.0
-126.0,-2.625
-137.0,-2.8541666666666665
-144.0,-3.0
-79.0,-1.6458333333333333
-144.0,-3.0
-144.0,-3.0
-144.0,-3.0
-54.0,-1.125
-144.0,-3.0
-144.0,-3.0
62.0,1.2916666666666667
2705.0,56.354166666666664
15419.0,321.2291666666667
-45.0,-0.9375
24.0,0.5
-66.0,-1.375
-117.0,-2.4375
-144.0,-3.0
-144.0,-3.0
-15.0,-0.3125
1152.0,24.0
-6.0,-0.125
-142.0,-2.9583333333333335
-142.0,-2.9583333333333335
1619.0,33.729166666666664
-144.0,-3.0
6819.0,142.0625
-144.0,-3.0
-3.0,-0.0625
531.0,11.0625
114.0,2.375
990.0,20.625
-4.0,-0.08333333333333333
-4.0,-0.08333333333333333
-74.0,-1.5416666666666667
-18.0,-0.375
-75.0,-1.5625
-18.0,-0.375
-12.0,-0.25
-30.0,-0.625
-10.0,-0.20833333333333334
-78.0,-1.625
-25.0,-0.5208333333333334
1891.0,39.395833333333336
1464.0,30.5
336.0,7.0
-9.0,-0.1875
253.0,5.270833333333333
624.0,13.0
-24.0,-0.5
1177.0,24.520833333333332
-132.0,-2.75
-27.0,-0.5625
-3.0,-0.0625
2.0,0.041666666666666664
-85.0,-1.7708333333333333
-144.0,-3.0
3235.0,67.39583333333333
-144.0,-3.0
-2.0,-0.041666666666666664
100.0,2.0833333333333335
-144.0,-3.0
-42.0,-0.875
-27.0,-0.5625
-68.0,-1.4166666666666667
-144.0,-3.0
189.0,3.9375
958.0,19.958333333333332
-29.0,-0.6041666666666666
-24.0,-0.5
-40.0,-0.8333333333333334
116.0,2.4166666666666665
1420.0,29.583333333333332
-9.0,-0.1875
315.0,6.5625
66.0,1.375
91.0,1.8958333333333333
295.0,6.145833333333333
-24.0,-0.5
-24.0,-0.5
-24.0,-0.5
1792.0,37.333333333333336
-25.0,-0.5208333333333334
-24.0,-0.5
-37.0,-0.7708333333333334
1418.0,29.541666666666668
13122.0,273.375
-48.0,-1.0
5485.0,114.27083333333333
-144.0,-3.0
-52.0,-1.0833333333333333
-144.0,-3.0
-144.0,-3.0
-24.0,-0.5
5.0,0.10416666666666667
-26.0,-0.5416666666666666
-25.0,-0.5208333333333334
1918.0,39.958333333333336
-25.0,-0.5208333333333334
-27.0,-0.5625
62.0,1.2916666666666667
-28.0,-0.5833333333333334
-29.0,-0.6041666666666666
707.0,14.729166666666666
-24.0,-0.5
-6.0,-0.125
408.0,8.5
-24.0,-0.5
1150.0,23.958333333333332
1686.0,35.125
-24.0,-0.5
-25.0,-0.5208333333333334
-24.0,-0.5
238.0,4.958333333333333
95.0,1.9791666666666667
-29.0,-0.6041666666666666
-24.0,-0.5
-3.0,-0.0625
-30.0,-0.625
-144.0,-3.0
138.0,2.875
-3.0,-0.0625
-25.0,-0.5208333333333334
409.0,8.520833333333334
-25.0,-0.5208333333333334
-3.0,-0.0625
-24.0,-0.5
1843.0,38.395833333333336
-9.0,-0.1875
810.0,16.875
-3.0,-0.0625
-42.0,-0.875
-6.0,-0.125
135.0,2.8125
-111.0,-2.3125
7034.0,146.54166666666666
-144.0,-3.0
-26.0,-0.5416666666666666
-30.0,-0.625
140.0,2.9166666666666665
-27.0,-0.5625
-33.0,-0.6875
108.0,2.25
240.0,5.0
-51.0,-1.0625
-6.0,-0.125
-105.0,-2.1875
2910.0,60.625
7.0,0.14583333333333334
-3.0,-0.0625
95.0,1.9791666666666667
-25.0,-0.5208333333333334
-105.0,-2.1875
103.0,2.1458333333333335
-3.0,-0.0625
30.0,0.625
-25.0,-0.5208333333333334
-24.0,-0.5
402.0,8.375
-1.0,-0.020833333333333332
-96.0,-2.0
88.0,1.8333333333333333
-25.0,-0.5208333333333334
-25.0,-0.5208333333333334
138.0,2.875
287.0,5.979166666666667
-24.0,-0.5
-24.0,-0.5
-36.0,-0.75
300.0,6.25
279.0,5.8125
-63.0,-1.3125
30.0,0.625
-24.0,-0.5
-3.0,-0.0625
-24.0,-0.5
-144.0,-3.0
-144.0,-3.0
1477.0,30.770833333333332
388.0,8.083333333333334
-12.0,-0.25
88.0,1.8333333333333333
-28.0,-0.5833333333333334
2302.0,47.958333333333336
-27.0,-0.5625
-2.0,-0.041666666666666664
1796.0,37.416666666666664
241.0,5.020833333333333
129.0,2.6875
-144.0,-3.0
193.0,4.020833333333333
-24.0,-0.5
-15.0,-0.3125
-24.0,-0.5
138.0,2.875
-2.0,-0.041666666666666664
-2.0,-0.041666666666666664
-25.0,-0.5208333333333334
-3.0,-0.0625
-24.0,-0.5
715.0,14.895833333333334
-62.0,-1.2916666666666667
44.0,0.9166666666666666
1620.0,33.75
-18.0,-0.375
1204.0,25.083333333333332
-25.0,-0.5208333333333334
-6.0,-0.125
-2.0,-0.041666666666666664
-27.0,-0.5625
-2.0,-0.041666666666666664
-138.0,-2.875
-24.0,-0.5
-144.0,-3.0
-144.0,-3.0
-25.0,-0.5208333333333334
-12.0,-0.25
185.0,3.8541666666666665
-25.0,-0.5208333333333334
234.0,4.875
-25.0,-0.5208333333333334
82.0,1.7083333333333333
-144.0,-3.0
2151.0,44.8125
-15.0,-0.3125
-24.0,-0.5
4231.0,88.14583333333333
-12.0,-0.25
116.0,2.4166666666666665
-144.0,-3.0
-33.0,-0.6875
-6.0,-0.125
7168.0,149.33333333333334
1246.0,25.958333333333332
-3.0,-0.0625
-15.0,-0.3125
2258.0,47.041666666666664
-6.0,-0.125
131.0,2.7291666666666665
2654.0,55.291666666666664
3536.0,73.66666666666667
-20.0,-0.4166666666666667
-82.0,-1.7083333333333333
-24.0,-0.5
-25.0,-0.5208333333333334
-24.0,-0.5
95.0,1.9791666666666667
-25.0,-0.5208333333333334
-3.0,-0.0625
141.0,2.9375
-3.0,-0.0625
1558.0,32.458333333333336
-25.0,-0.5208333333333334
-3.0,-0.0625
-27.0,-0.5625
-24.0,-0.5
-34.0,-0.7083333333333334
-24.0,-0.5
5920.0,123.33333333333333
-26.0,-0.5416666666666666
-29.0,-0.6041666666666666
-39.0,-0.8125
-35.0,-0.7291666666666666
302.0,6.291666666666667
-24.0,-0.5
-3.0,-0.0625
138.0,2.875
1594.0,33.208333333333336
608.0,12.666666666666666
80.0,1.6666666666666667
-25.0,-0.5208333333333334
-24.0,-0.5
-3.0,-0.0625
-24.0,-0.5
-33.0,-0.6875
-24.0,-0.5
-24.0,-0.5
-1.0,-0.020833333333333332
-144.0,-3.0
-25.0,-0.5208333333333334
-57.0,-1.1875
-28.0,-0.5833333333333334
-31.0,-0.6458333333333334
2584.0,53.833333333333336
108.0,2.25
-24.0,-0.5
108.0,2.25
-25.0,-0.5208333333333334
821.0,17.104166666666668
338.0,7.041666666666667
1486.0,30.958333333333332
-6.0,-0.125
-24.0,-0.5
3049.0,63.520833333333336
2662.0,55.458333333333336
1200.0,25.0
-24.0,-0.5
-24.0,-0.5
2185.0,45.520833333333336
-9.0,-0.1875
91.0,1.8958333333333333
-51.0,-1.0625
-33.0,-0.6875
-122.0,-2.5416666666666665
-139.0,-2.8958333333333335
-1.0,-0.020833333333333332
99.0,2.0625
544.0,11.333333333333334
1359.0,28.3125
-124.0,-2.5833333333333335
1621.0,33.770833333333336
-2.0,-0.041666666666666664
-3.0,-0.0625
3247.0,67.64583333333333
-18.0,-0.375
-15.0,-0.3125
-3.0,-0.0625
-25.0,-0.5208333333333334
-25.0,-0.5208333333333334
-60.0,-1.25
-30.0,-0.625
54.0,1.125
-3.0,-0.0625
-3.0,-0.0625
-9.0,-0.1875
-6.0,-0.125
3552.0,74.0
-12.0,-0.25
-27.0,-0.5625
-25.0,-0.5208333333333334
30.0,0.625
102.0,2.125
-27.0,-0.5625
34.0,0.7083333333333334
84.0,1.75
-4.0,-0.08333333333333333
457.0,9.520833333333334
-3.0,-0.0625
-24.0,-0.5
502.0,10.458333333333334
261.0,5.4375
491.0,10.229166666666666
-3.0,-0.0625
96.0,2.0
-1.0,-0.020833333333333332
-3.0,-0.0625
1064.0,22.166666666666668
-33.0,-0.6875
359.0,7.479166666666667
-3.0,-0.0625
-1.0,-0.020833333333333332
-25.0,-0.5208333333333334
-30.0,-0.625
-39.0,-0.8125
-39.0,-0.8125
-144.0,-3.0
-24.0,-0.5
-94.0,-1.9583333333333333
-24.0,-0.5
-2.0,-0.041666666666666664
-19.0,-0.3958333333333333
-24.0,-0.5
-6.0,-0.125
0.0,0.0
-24.0,-0.5
-24.0,-0.5
3101.0,64.60416666666667
-25.0,-0.5208333333333334
139.0,2.8958333333333335
31.0,0.6458333333333334
102.0,2.125
-3.0,-0.0625
93.0,1.9375
-26.0,-0.5416666666666666
-25.0,-0.5208333333333334
-25.0,-0.5208333333333334
131.0,2.7291666666666665
-1.0,-0.020833333333333332
88.0,1.8333333333333333
-3.0,-0.0625
-1.0,-0.020833333333333332
-51.0,-1.0625
160.0,3.3333333333333335
-24.0,-0.5
6144.0,128.0
-3.0,-0.0625
420.0,8.75
227.0,4.729166666666667
-24.0,-0.5
8777.0,182.85416666666666
-3.0,-0.0625
-3.0,-0.0625
1245.0,25.9375
568.0,11.833333333333334
-144.0,-3.0
-1.0,-0.020833333333333332
134.0,2.7916666666666665
-3.0,-0.0625
-3.0,-0.0625
95.0,1.9791666666666667
27.0,0.5625
-1.0,-0.020833333333333332
552.0,11.5
3057.0,63.6875
-2.0,-0.041666666666666664
-24.0,-0.5
-1.0,-0.020833333333333332
-25.0,-0.5208333333333334
113.0,2.3541666666666665
-27.0,-0.5625
-3.0,-0.0625
67.0,1.3958333333333333
333.0,6.9375
-3.0,-0.0625
-3.0,-0.0625
-1.0,-0.020833333333333332
349.0,7.270833333333333
1396.0,29.083333333333332
-9.0,-0.1875
1706.0,35.541666666666664
-144.0,-3.0
-6.0,-0.125
737.0,15.354166666666666
141.0,2.9375
-24.0,-0.5
-24.0,-0.5
-3.0,-0.0625
-6.0,-0.125
-3.0,-0.0625
1582.0,32.958333333333336
-9.0,-0.1875
-144.0,-3.0
2450.0,51.041666666666664
72.0,1.5
-24.0,-0.5
-130.0,-2.7083333333333335
-2.0,-0.041666666666666664
-2.0,-0.041666666666666664
0.0,0.0
-6.0,-0.125
-24.0,-0.5
0.0,0.0
-36.0,-0.75
-25.0,-0.5208333333333334
142.0,2.9583333333333335
0.0,0.0
-24.0,-0.5
351.0,7.3125
-2.0,-0.041666666666666664
-1.0,-0.020833333333333332
-33.0,-0.6875
-2.0,-0.041666666666666664
-24.0,-0.5
312.0,6.5
37.0,0.7708333333333334
679.0,14.145833333333334
-24.0,-0.5
-9.0,-0.1875
965.0,20.104166666666668
-9.0,-0.1875
-3.0,-0.0625
156.0,3.25
191.0,3.9791666666666665
-3.0,-0.0625
-15.0,-0.3125
862.0,17.958333333333332
-9.0,-0.1875
231.0,4.8125
-6.0,-0.125
576.0,12.0
-27.0,-0.5625
841.0,17.520833333333332
-9.0,-0.1875
-6.0,-0.125
-15.0,-0.3125
-24.0,-0.5
-2.0,-0.041666666666666664
-24.0,-0.5
214.0,4.458333333333333
-24.0,-0.5
220.0,4.583333333333333
-81.0,-1.6875
-3.0,-0.0625
-15.0,-0.3125
-12.0,-0.25
-84.0,-1.75
533.0,11.104166666666666
-18.0,-0.375
-48.0,-1.0
234.0,4.875
-38.0,-0.7916666666666666
-51.0,-1.0625
-32.0,-0.6666666666666666
-144.0,-3.0
-36.0,-0.75
-37.0,-0.7708333333333334
-42.0,-0.875
-1.0,-0.020833333333333332
-3.0,-0.0625
115.0,2.3958333333333335
655.0,13.645833333333334
2038.0,42.458333333333336
-75.0,-1.5625
3881.0,80.85416666666667
73.0,1.5208333333333333
-24.0,-0.5
-1.0,-0.020833333333333332
-1.0,-0.020833333333333332
-12.0,-0.25
286.0,5.958333333333333
-2.0,-0.041666666666666664
-36.0,-0.75
-3.0,-0.0625
-24.0,-0.5
2729.0,56.854166666666664
-106.0,-2.2083333333333335
123.0,2.5625
97.0,2.0208333333333335
968.0,20.166666666666668
84.0,1.75
253.0,5.270833333333333
-24.0,-0.5
-51.0,-1.0625
18.0,0.375
140.0,2.9166666666666665
-3.0,-0.0625
1371.0,28.5625
0.0,0.0
276.0,5.75
-2.0,-0.041666666666666664
-2.0,-0.041666666666666664
132.0,2.75
-104.0,-2.1666666666666665
513.0,10.6875
264.0,5.5
-1.0,-0.020833333333333332
-1.0,-0.020833333333333332
-144.0,-3.0
410.0,8.541666666666666
102.0,2.125
497.0,10.354166666666666
-6.0,-0.125
-1.0,-0.020833333333333332
-3.0,-0.0625
142.0,2.9583333333333335
-24.0,-0.5
-1.0,-0.020833333333333332
1852.0,38.583333333333336
-2.0,-0.041666666666666664
-25.0,-0.5208333333333334
1822.0,37.958333333333336
2060.0,42.916666666666664
-6.0,-0.125
-3.0,-0.0625
-2.0,-0.041666666666666664
-15.0,-0.3125
-2.0,-0.041666666666666664
125.0,2.6041666666666665
-3.0,-0.0625
1979.0,41.229166666666664
-6.0,-0.125
4140.0,86.25
396.0,8.25
-2.0,-0.041666666666666664
-12.0,-0.25
469.0,9.770833333333334
3996.0,83.25
-9.0,-0.1875
-2.0,-0.041666666666666664
647.0,13.479166666666666
63.0,1.3125
-3.0,-0.0625
-9.0,-0.1875
-25.0,-0.5208333333333334
1802.0,37.541666666666664
3714.0,77.375
0.0,0.0
158.0,3.2916666666666665
-6.0,-0.125
504.0,10.5
364.0,7.583333333333333
446.0,9.291666666666666
-24.0,-0.5
-28.0,-0.5833333333333334
795.0,16.5625
384.0,8.0
0.0,0.0
-57.0,-1.1875
-3.0,-0.0625
105.0,2.1875
261.0,5.4375
-2.0,-0.041666666666666664
253.0,5.270833333333333
0.0,0.0
5.0,0.10416666666666667
-9.0,-0.1875
879.0,18.3125
313.0,6.520833333333333
1278.0,26.625
-3.0,-0.0625
-2.0,-0.041666666666666664
-3.0,-0.0625
279.0,5.8125
463.0,9.645833333333334
278.0,5.791666666666667
-6.0,-0.125
164.0,3.4166666666666665
-2.0,-0.041666666666666664
-18.0,-0.375
0.0,0.0
431.0,8.979166666666666
-138.0,-2.875
99.0,2.0625
60.0,1.25
-3.0,-0.0625
-15.0,-0.3125
-6.0,-0.125
-3.0,-0.0625
-3.0,-0.0625
388.0,8.083333333333334
-3.0,-0.0625
-3.0,-0.0625
-3.0,-0.0625
113.0,2.3541666666666665
2306.0,48.041666666666664
-6.0,-0.125
0.0,0.0
-4.0,-0.08333333333333333
-1.0,-0.020833333333333332
156.0,3.25
854.0,17.791666666666668
1137.0,23.6875
53.0,1.1041666666666667
-15.0,-0.3125
36.0,0.75
-2.0,-0.041666666666666664
-12.0,-0.25
-15.0,-0.3125
-2.0,-0.041666666666666664
-2.0,-0.041666666666666664
174.0,3.625
-3.0,-0.0625
-18.0,-0.375
308.0,6.416666666666667
-30.0,-0.625
-18.0,-0.375
-1.0,-0.020833333333333332
649.0,13.520833333333334
-1.0,-0.020833333333333332
202.0,4.208333333333333
964.0,20.083333333333332
-42.0,-0.875
-3.0,-0.0625
-25.0,-0.5208333333333334
-24.0,-0.5
-18.0,-0.375
96.0,2.0
-1.0,-0.020833333333333332
-24.0,-0.5
-9.0,-0.1875
-27.0,-0.5625
-27.0,-0.5625
-2.0,-0.041666666666666664
2198.0,45.791666666666664
-6.0,-0.125
30.0,0.625
1030.0,21.458333333333332
-6.0,-0.125
0.0,0.0
-24.0,-0.5
-48.0,-1.0
-3.0,-0.0625
-48.0,-1.0
602.0,12.541666666666666
1461.0,30.4375
0.0,0.0
424.0,8.833333333333334
37599.0,783.3125
1353.0,28.1875
1209.0,25.1875
55.0,1.1458333333333333
-24.0,-0.5
129.0,2.6875
442.0,9.208333333333334
-1.0,-0.020833333333333332
130.0,2.7083333333333335
-3.0,-0.0625
531.0,11.0625
-1.0,-0.020833333333333332
-21.0,-0.4375
745.0,15.520833333333334
-6.0,-0.125
136.0,2.8333333333333335
-25.0,-0.5208333333333334
1087.0,22.645833333333332
-6.0,-0.125
0.0,0.0
-24.0,-0.5
-46.0,-0.9583333333333334
-24.0,-0.5
-24.0,-0.5
140.0,2.9166666666666665
0.0,0.0
-1.0,-0.020833333333333332
121.0,2.5208333333333335
-3.0,-0.0625
-1.0,-0.020833333333333332
-69.0,-1.4375
-1.0,-0.020833333333333332
-24.0,-0.5
1893.0,39.4375
-2.0,-0.041666666666666664
0.0,0.0
506.0,10.541666666666666
50.0,1.0416666666666667
1148.0,23.916666666666668
-1.0,-0.020833333333333332
-1.0,-0.020833333333333332
-3.0,-0.0625
-24.0,-0.5
917.0,19.104166666666668
-25.0,-0.5208333333333334
-25.0,-0.5208333333333334
0.0,0.0
215.0,4.479166666666667
-32.0,-0.6666666666666666
-24.0,-0.5
309.0,6.4375
0.0,0.0
1108.0,23.083333333333332
-1.0,-0.020833333333333332
-24.0,-0.5
-24.0,-0.5
-24.0,-0.5
-144.0,-3.0
-1.0,-0.020833333333333332
-3.0,-0.0625
3995.0,83.22916666666667
-3.0,-0.0625
89.0,1.8541666666666667
-25.0,-0.5208333333333334
-137.0,-2.8541666666666665
102.0,2.125
