word_title,count
delay,70
1st,70
Not,70
cost,70
Starliner,70
cargo,70
operators,70
Trump,69
In,69
wants,69
2022,69
Is,69
Deal,68
Maxar,68
Solar,68
Gets,68
Delays,68
Moon,68
planning,68
Delay,68
President,67
Japanese,67
ILS,67
Foust,67
awards,67
Growth,67
Planet,67
suborbital,67
2013,66
despite,66
Lofts,66
management,65
Study,65
continues,65
Alenia,65
Sierra,65
Back,65
RD-180,65
astronaut,65
growth,64
2014,64
propulsion,64
Lawmakers,64
passes,64
startups,64
key,64
Review,63
payload,63
Competition,63
Imagery,63
Future,63
failure,63
UK,63
three,63
traffic,62
SpaceNews,62
U.K.,62
sees,62
Bridenstine,62
Ground,62
big,62
SpaceX’s,61
Electron,61
procurement,61
attempt,61
eyes,61
Second,61
fly,61
competition,61
cooperation,61
cubesat,61
stage,61
agency,60
ViaSat,60
Viasat,60
Be,60
Why,60
Boost,60
Technology,60
systems,60
sets,60
Big,60
Cygnus,60
boost,59
Final,59
rideshare,59
Sea,59
Would,59
Constellation,59
Payload,59
spaceflight,59
or,59
set,58
Spacecraft,58
Cost,58
amid,58
manufacturing,58
Council,58
looks,58
DigitalGlobe,58
offers,58
Astra,57
chief,57
needs,57
flights,57
Eyes,57
News,57
