word_title,date,count
could,"October 8, 2020",1
public,"October 8, 2020",1
"1,000","October 8, 2020",1
GHGSat,"October 8, 2020",1
P120C,"October 8, 2020",1
third,"October 8, 2020",1
booster,"October 8, 2020",1
methane-monitoring,"October 8, 2020",1
companies,"October 8, 2020",1
Europe’s,"October 8, 2020",1
wave,"October 8, 2020",1
new,"October 8, 2020",1
test,"October 8, 2020",1
Space,"October 8, 2020",1
Air,"October 8, 2020",1
performance,"October 8, 2020",1
than,"October 8, 2020",1
final,"October 8, 2020",1
Slingshot,"October 8, 2020",1
Momentus,"October 8, 2020",1
operators,"October 8, 2020",1
simulation,"October 8, 2020",1
static,"October 8, 2020",1
More,"October 8, 2020",1
deal,"October 8, 2020",1
going,"October 8, 2020",1
completes,"October 8, 2020",1
for,"October 8, 2020",1
transfer,"October 8, 2020",1
schools,"October 8, 2020",1
cyber,"October 8, 2020",1
Aerospace,"October 8, 2020",1
develop,"October 8, 2020",1
virtual,"October 8, 2020",1
and,"October 8, 2020",1
security,"October 8, 2020",1
satellite,"October 8, 2020",1
mark,"October 8, 2020",1
lauds,"October 8, 2020",1
military,"October 8, 2020",1
fire,"October 8, 2020",1
radar,"October 8, 2021",1
expanding,"October 8, 2021",1
case,"October 8, 2021",1
NGA,"October 8, 2021",1
markets,"October 8, 2021",1
offers,"October 8, 2021",1
ease,"October 8, 2021",1
protection,"October 8, 2021",1
create,"October 8, 2021",1
light,"October 8, 2021",1
missile,"October 8, 2021",1
Report,"October 8, 2021",1
the,"October 8, 2021",1
and,"October 8, 2021",1
leaders,"October 8, 2021",1
constellation,"October 8, 2021",1
is,"October 8, 2021",1
cybersecurity,"October 8, 2021",1
SAR,"October 8, 2021",1
survey,"October 8, 2021",1
Tianxian,"October 8, 2021",1
new,"October 8, 2021",1
rules,"October 8, 2021",1
business,"October 8, 2021",1
about,"October 8, 2021",1
plans,"October 8, 2021",1
megaconstellations,"October 8, 2021",1
on,"October 8, 2021",1
satellite,"October 8, 2021",1
way,"October 8, 2021",1
sites,"October 8, 2021",1
NRO,"October 8, 2021",1
international,"October 8, 2021",1
additional,"October 8, 2021",1
into,"October 8, 2021",1
providers,"October 8, 2021",1
skeptical,"October 8, 2021",1
requirements,"October 8, 2021",1
partnership,"October 8, 2021",1
planetary,"October 8, 2021",1
establishes,"October 8, 2021",1
Industry,"October 8, 2021",1
Analyst,"October 8, 2021",1
annual,"October 8, 2021",1
of,"October 8, 2021",1
shed,"October 8, 2021",1
observation,"October 8, 2021",1
Mars,"October 8, 2021",1
uses,"October 8, 2021",1
commercial,"October 8, 2021",1
licenses,"October 8, 2021",1
mission,"October 8, 2021",1
control,"October 8, 2022",1
restored,"October 8, 2022",1
attitude,"October 8, 2022",1
CAPSTONE,"October 8, 2022",1
Validation,"October 9, 2009",1
Launch,"October 9, 2009",1
on,"October 9, 2009",1
Talk,"October 9, 2009",1
than,"October 9, 2009",1
Yields,"October 9, 2009",1
Galileo,"October 9, 2009",1
Dates,"October 9, 2009",1
Mars,"October 9, 2009",1
Slip,"October 9, 2009",1
Bolden,"October 9, 2009",1
Rise,"October 9, 2009",1
Investment,"October 9, 2009",1
Joint,"October 9, 2009",1
Insights,"October 9, 2009",1
Backing,"October 9, 2009",1
Commercial,"October 9, 2009",1
Personal,"October 9, 2009",1
More,"October 9, 2009",1
with,"October 9, 2009",1
Spaceflight,"October 9, 2009",1
Satellites,"October 9, 2009",1
Report:,"October 9, 2009",1
NASA,"October 9, 2009",1
Program,"October 9, 2009",1
Wins,"October 9, 2009",1
Dordain,"October 9, 2009",1
Political,"October 9, 2009",1
the,"October 9, 2009",1
Unclear,"October 9, 2012",1
Schedule,"October 9, 2012",1
Recovery,"October 9, 2012",1
"EU,","October 9, 2012",1
Meeting,"October 9, 2012",1
Launched,"October 9, 2012",1
Falcon,"October 9, 2012",1
December,"October 9, 2012",1
Orbcomm,"October 9, 2012",1
China,"October 9, 2012",1
Prospects,"October 9, 2012",1
by,"October 9, 2012",1
Dispute,"October 9, 2012",1
for,"October 9, 2012",1
9,"October 9, 2012",1
Navigation,"October 9, 2012",1
on,"October 9, 2012",1
Craft,"October 9, 2012",1
Plans,"October 9, 2013",1
Spending,"October 9, 2013",1
Defense,"October 9, 2013",1
Symposium,"October 9, 2013",1
Outlook,"October 9, 2013",1
Comtech’s,"October 9, 2013",1
U.S.,"October 9, 2013",1
GeoInt,"October 9, 2013",1
Postpones,"October 9, 2013",1
Fuzzy,"October 9, 2013",1
Stymies,"October 9, 2013",1
USGIF,"October 9, 2013",1
Acquisition,"October 9, 2013",1
Needs,"October 9, 2014",1
Aid,"October 9, 2014",1
Combat,"October 9, 2014",1
Science,"October 9, 2014",1
Broadband,"October 9, 2014",1
European,"October 9, 2014",1
International,"October 9, 2014",1
IG,"October 9, 2014",1
Harris,"October 9, 2014",1
Contracts,"October 9, 2014",1
Force,"October 9, 2014",1
Extension,"October 9, 2014",1
Jamming,"October 9, 2014",1
Satellite-control,"October 9, 2014",1
Says,"October 9, 2014",1
Process,"October 9, 2014",1
Spectrum,"October 9, 2014",1
Awards,"October 9, 2014",1
Broadcasts,"October 9, 2014",1
Crew,"October 9, 2014",1
Halt,"October 9, 2014",1
Air,"October 9, 2014",1
Review,"October 9, 2014",1
Cuban,"October 9, 2014",1
Commission,"October 9, 2014",1
Planetary,"October 9, 2014",1
Million,"October 9, 2014",1
Resumes,"October 9, 2014",1
$26,"October 9, 2014",1
Interference,"October 9, 2014",1
Support,"October 9, 2014",1
Senior,"October 9, 2014",1
Backs,"October 9, 2014",1
Contract,"October 9, 2014",1
Terrestrial,"October 9, 2014",1
Efforts,"October 9, 2014",1
Could,"October 9, 2014",1
Commercial,"October 9, 2014",1
C-band,"October 9, 2014",1
Reallocation,"October 9, 2014",1
on,"October 9, 2014",1
Dev,"October 9, 2015",1
"Plant,","October 9, 2015",1
Top,"October 9, 2015",1
Inmarsat,"October 9, 2015",1
Flooding,"October 9, 2015",1
Com,"October 9, 2015",1
Deal,"October 9, 2015",1
Vote,"October 9, 2015",1
Russian,"October 9, 2015",1
Worry,"October 9, 2015",1
To,"October 9, 2015",1
Put,"October 9, 2015",1
Unscathed,"October 9, 2015",1
in,"October 9, 2015",1
Force,"October 9, 2015",1
Industry,"October 9, 2015",1
Procedural,"October 9, 2015",1
SpaceX,"October 9, 2015",1
Move,"October 9, 2015",1
Falcon,"October 9, 2015",1
Space,"October 9, 2015",1
Bill,"October 9, 2015",1
Facebook-Eutelsat,"October 9, 2015",1
Market,"October 9, 2015",1
Awaiting,"October 9, 2015",1
on,"October 9, 2015",1
Silence,"October 9, 2015",1
9,"October 9, 2015",1
"Maneuvers,","October 9, 2015",1
Ex-Im,"October 9, 2015",1
Encore,"October 9, 2015",1
Government,"October 9, 2015",1
Internet,"October 9, 2015",1
Failure,"October 9, 2015",1
Sale,"October 9, 2015",1
U.S.,"October 9, 2015",1
for,"October 9, 2015",1
Itself,"October 9, 2015",1
Satellites,"October 9, 2015",1
Investigation,"October 9, 2015",1
Hit,"October 9, 2015",1
Thales,"October 9, 2015",1
but,"October 9, 2015",1
Might,"October 9, 2015",1
Wrapping,"October 9, 2015",1
Position,"October 9, 2015",1
Satellite,"October 9, 2015",1
Alenia,"October 9, 2015",1
Intelsat,"October 9, 2015",1
Leaves,"October 9, 2015",1
Eyes,"October 9, 2015",1
bad,"October 9, 2016",1
at,"October 9, 2016",1
damage,"October 9, 2016",1
Florida,"October 9, 2016",1
facilities,"October 9, 2016",1
not,"October 9, 2016",1
Hurricane,"October 9, 2016",1
launch,"October 9, 2016",1
feared,"October 9, 2016",1
out,"October 9, 2017",1
growing,"October 9, 2017",1
office,"October 9, 2017",1
set,"October 9, 2017",1
satellite,"October 9, 2017",1
government,"October 9, 2017",1
3D,"October 9, 2017",1
injector,"October 9, 2017",1
Iridium,"October 9, 2017",1
satellites,"October 9, 2017",1
"threats,","October 9, 2017",1
space,"October 9, 2017",1
commercial,"October 9, 2017",1
prototype,"October 9, 2017",1
prints,"October 9, 2017",1
launches,"October 9, 2017",1
weapons,"October 9, 2017",1
differ,"October 9, 2017",1
Next,"October 9, 2017",1
communications,"October 9, 2017",1
ASRC,"October 9, 2017",1
for,"October 9, 2017",1
scrambles,"October 9, 2017",1
SpaceX,"October 9, 2017",1
FAA,"October 9, 2017",1
modernize,"October 9, 2017",1
In,"October 9, 2017",1
future,"October 9, 2017",1
plan,"October 9, 2017",1
links,"October 9, 2017",1
successor,"October 9, 2017",1
new,"October 9, 2017",1
rolls,"October 9, 2017",1
secure,"October 9, 2017",1
Industry,"October 9, 2017",1
RD-180,"October 9, 2017",1
fuel,"October 9, 2017",1
on,"October 9, 2017",1
the,"October 9, 2017",1
face,"October 9, 2017",1
networks,"October 9, 2017",1
third,"October 9, 2017",1
launches,"October 9, 2018",1
satellites,"October 9, 2018",1
still,"October 9, 2018",1
targets,"October 9, 2018",1
or,"October 9, 2018",1
broadband,"October 9, 2018",1
$1,"October 9, 2018",1
to,"October 9, 2018",1
laser,"October 9, 2018",1
government,"October 9, 2018",1
a,"October 9, 2018",1
dedicated,"October 9, 2018",1
smallsat,"October 9, 2018",1
welcome,"October 9, 2018",1
requirements,"October 9, 2018",1
and,"October 9, 2018",1
introduce,"October 9, 2018",1
two,"October 9, 2018",1
greenhouse,"October 9, 2018",1
gases,"October 9, 2018",1
in,"October 9, 2018",1
tracking,"October 9, 2018",1
UP,"October 9, 2018",1
communications,"October 9, 2018",1
three,"October 9, 2018",1
developing,"October 9, 2018",1
agencies,"October 9, 2018",1
Analysts,"October 9, 2018",1
with,"October 9, 2018",1
megaconstellations,"October 9, 2018",1
Tesat-Spacecom,"October 9, 2018",1
as,"October 9, 2018",1
systems,"October 9, 2018",1
