date,author,avg_articles_each_author_per_day
"April 24, 2012",Dan Leone,0.3333333333333333
"April 24, 2012",Peter B. de Selding,0.6666666666666666
"April 25, 2013",Peter B. de Selding,0.4
"April 25, 2013",Warren Ferster,0.2
"April 25, 2013",Debra Werner,0.2
"April 25, 2013",Dan Leone,0.2
"April 8, 2010",Peter B. de Selding,0.5
"April 8, 2010",Turner Brinton,0.5
"August 2, 2010",Turner Brinton,0.2222222222222222
"August 2, 2010",Leonard David,0.1111111111111111
"August 2, 2010",Stuart Fox,0.1111111111111111
"August 2, 2010",SpaceNews Staff,0.4444444444444444
"August 2, 2010",Brian Berger,0.1111111111111111
"August 29, 2017",Intelsat General,0.2
"August 29, 2017",Jeff Foust,0.2
"August 29, 2017",Debra Werner,0.2
"August 29, 2017",Caleb Henry,0.4
"August 8, 2011",Debra Werner,0.16666666666666666
"August 8, 2011",SpaceNews Staff,0.8333333333333334
"December 12, 2012",Dan Leone,0.6
"December 12, 2012",David Pugliese,0.2
"December 12, 2012",Peter B. de Selding,0.2
"December 13, 2021",Roger J. Rusch,0.25
"December 13, 2021",Jeff Foust,0.25
"December 13, 2021",Sandra Erwin,0.25
"December 13, 2021",Park Si-soo,0.25
"December 18, 2020",Sandra Erwin,0.2
"December 18, 2020",Andrew Jones,0.2
"December 18, 2020",Jeff Foust,0.6
"December 25, 2020",Leonard David,1.0
"February 15, 2021",Sandra Erwin,1.0
"February 20, 2017",Caleb Henry,0.5
"February 20, 2017",Jeff Foust,0.5
"January 28, 2020",Jeff Foust,0.6
"January 28, 2020",Sandra Erwin,0.4
"January 7, 2013",SpaceNews Editor,0.16666666666666666
"January 7, 2013",Dan Leone,0.3333333333333333
"January 7, 2013",Robert Z. Pearlman,0.16666666666666666
"January 7, 2013",SpaceNews,0.16666666666666666
"January 7, 2013",Brian Berger,0.16666666666666666
"July 13, 2018",Caleb Henry,0.5
"July 13, 2018",Jeff Foust,0.5
"July 3, 2019",Caleb Henry,0.5
"July 3, 2019",Jeff Foust,0.5
"June 26, 2015",Peter B. de Selding,0.42857142857142855
"June 26, 2015",Mike Gruss,0.2857142857142857
"June 26, 2015",Jonathan Charlton,0.14285714285714285
"June 26, 2015",Dan Leone,0.14285714285714285
"March 18, 2018",Sandra Erwin,1.0
"March 9, 2015",Dan Leone,0.125
"March 9, 2015",Peter B. de Selding,0.25
"March 9, 2015",Mike Gruss,0.25
"March 9, 2015",Debra Werner,0.125
"March 9, 2015",Jeff Foust,0.125
"March 9, 2015",K.S. Jayaraman,0.125
"November 17, 2022",Debra Werner,0.2
"November 17, 2022",Andrew Jones,0.2
"November 17, 2022",Jeff Foust,0.2
"November 17, 2022",Sandra Erwin,0.4
"November 22, 2013",Peter B. de Selding,0.5555555555555556
"November 22, 2013",Mike Gruss,0.3333333333333333
"November 22, 2013",Dan Leone,0.1111111111111111
"November 25, 2022",Jason Rainbow,0.3333333333333333
"November 25, 2022",Jeff Foust,0.6666666666666666
"November 26, 2016",Jeff Foust,1.0
"November 3, 2016",Phillip Swarts,0.4
"November 3, 2016",Jeff Foust,0.2
"November 3, 2016",Peter B. de Selding,0.2
"November 3, 2016",Jarosław Adamowski,0.2
"October 14, 2015",David Kenny,0.125
"October 14, 2015",SpaceNews Editor,0.125
"October 14, 2015",Jeff Foust,0.5
"October 14, 2015",Peter B. de Selding,0.125
"October 14, 2015",Warren Ferster,0.125
"October 2, 2009",Amy Klamper,0.3333333333333333
"October 2, 2009",Turner Brinton,0.3333333333333333
"October 2, 2009",Peter B. de Selding,0.3333333333333333
"September 10, 2022",Jeff Foust,0.3333333333333333
"September 10, 2022",Sandra Erwin,0.6666666666666666
"September 20, 2010",Turner Brinton,0.09090909090909091
"September 20, 2010",Denise Chow,0.09090909090909091
"September 20, 2010",SpaceNews Staff,0.5454545454545454
"September 20, 2010",Peter B. de Selding,0.2727272727272727
