title,postexcerpt
U.S. Space Command calls for investment in technologies for deep space missions,U.S. Space Command's Lt. Gen. John Shaw said 'one of the challenges that we will have as a nation is understanding the lunar environment'
Defense Innovation Unit selects contractors to build hybrid space network,"Anduril, Aalyria, Atlas Space and Enveil won contracts for the Defense Innovation Unit's hybrid space architecture program"
ISS partners weigh options for using commercial space stations,"Partner agencies on the International Space Station program say they are in discussions about how they will use, and pay for, commercial space stations that will replace it."
Space Force coming to grips with cybersecurity threats,"A key challenge for the Space Force is how to assess cyber security risks, said Lt. Gen. Stephen Whiting"
Five companies win $4.8 billion in contracts from the National Air and Space Intelligence Center,"The U.S. Air Force selected five companies for a $4.8 billion multi-award contract to provide research, development and software services over 10 years for the National Air and Space Intelligence Center."
Harris says U.S. to update commercial space regulations,Vice President Kamala Harris said Aug. 12 that the National Space Council will work to revise commercial space regulations that have become “simply outdated” as the industry evolves.
Space Force considering strategy for procuring national security launch services,Space Force acquisition executive Frank Calvelli said he would be open to a different model than the current two-vendor approach for national security launch services procurement
"Space acquisition chief: DoD will buy small satellites, at fixed prices","Frank Calvelli, assistant secretary of the Air Force for space acquisitions and integration, wants acquisition officers to avoid cost-plus contracts and buy satellites at fixed prices"
Chinese space firm raises funds for commercial weather data satellite constellation,"Chinese private company wants to build a constellation of 80 satellites to provide weather data, further illustrating the growth and scope of China’s commercial space sector."
New guidance from Space Force acquisition boss: ‘The traditional ways must be reformed’,"In an Oct. 31 memo, Calvelli laid out nine “space acquisition tenets” intended to drive change in the procurement of space systems"
Report: U.S. should push for global rules on space traffic management,"It's unclear how much longer industries and governments can continue to operate safely in space without globally coordinated traffic management, says a new report from the Atlantic Council"
Commercial space station developers seek clarity on regulations,Companies working on commercial space stations intended to succeed the International Space Station say they need more clarity from the federal government on who will regulate them and how.
Kendall: Power competition in space becoming more destabilizing,"\"Air Force Secretary Frank Kendall said China and Russia \"\"have been working on offensive capability to counter our space systems.\"\"\""
NASA selects Axiom Space to develop Artemis spacesuit,"NASA awarded a $228.5 million task order to Axiom Space to develop a spacesuit to be used on the first Artemis landing mission, although the design of the suit remains under wraps."
NASA selects Axiom Space and Collins Aerospace for spacesuit contracts,"NASA awarded contracts to Axiom Space and Collins Aerospace to provide spacesuits for International Space Station spacewalks and Artemis moonwalks, although neither the agency nor the winning companies offered many technical or financial details."
Department of Homeland Security publishes space policy,The Department of Homeland Security (DHS) has published an updated space policy that emphasizes its roles in cybersecurity and resilience.
FCC considers new rules for emerging space capabilities,An inquiry into updating rules around space debris and emerging on-orbit services seeks to position the U.S. as a leader in an emerging space economy.
"U.S. Army hands over satellite operations to Space Force, but keeps a foothold in space",Satellite ground stations that for decades have been operated by the U.S. Army will be officially handed over to the Space Force on Aug. 15.
